runs,split,train_accuracy,train_precision,train_recall,train_fscore,test_accuracy,test_precision,test_recall,test_fscore
300,1,"0,7588888888888888","0,705828602035132","0,761172906987229","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6739683659420501","0,7216899814744642","0,6729027341442203"
300,2,"0,7555555555555555","0,7056439615402369","0,7633864256239745","-2,5009069199979286e+305","-2,5009069199979286e+305","0,7215840904619677","0,7953248802948952","0,7246280696346206"
300,3,"0,7544444444444445","0,7028635455785808","0,7627134995234242","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6837775551548343","0,7160289726931406","0,6634186316329174"
300,4,"0,7588888888888888","0,7088997675243477","0,7721325797557212","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6782342724479821","0,7030977420374456","0,6664557669737862"
300,5,"0,7561111111111111","0,7062784012049083","0,7697818075265979","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6893874643874643","0,6829439119701247","0,6789430442260631"
300,6,"0,7566666666666667","0,7044657109622986","0,755831313928894","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6566898938946419","0,6744568092937658","0,6471421129755441"
300,7,"0,7616666666666667","0,7105622225045937","0,7713231061834256","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6531259436325849","0,6878648404735361","0,653430784402527"
300,8,"0,7605555555555555","0,7086448671563164","0,7710678298575699","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6293310356772511","0,6231260233562025","0,6137552661711342"
300,9,"0,7505555555555555","0,6976813812679671","0,7523918512351165","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6668109695626858","0,6697514469081626","0,6633145832456178"
300,10,"0,7572222222222222","0,7056452809291893","0,764103484107693","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6131897050318103","0,6229528916860252","0,5925083515016196"
300,11,"0,7522222222222222","0,7010153053492216","0,7639506770323778","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6467220814115787","0,6363627145523697","0,6285621357537695"
300,12,"0,7544444444444445","0,7004098650708832","0,7541312081343381","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6642893999705145","0,679222952626251","0,6400889564700817"
300,13,"0,755","0,7018271806787134","0,7572805115971535","-2,5009069199979286e+305","-2,5009069199979286e+305","0,7004266699932336","0,7453709203090763","0,7007516080771184"
300,14,"0,7616666666666667","0,7130734027076877","0,7767593636669838","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6744200471534568","0,7039094670436258","0,6659844141423088"
300,15,"0,7511111111111111","0,7001800104604066","0,7523384417228958","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6758214486662764","0,7050383470726727","0,6729243170620551"
300,16,"0,7516666666666667","0,7015329055418972","0,759889181483525","-2,5009069199979286e+305","-2,5009069199979286e+305","0,683593941346565","0,6774833218311479","0,6758338242744607"
300,17,"0,7622222222222222","0,7101918433672058","0,7676441655029527","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6198367916788969","0,5967462008958171","0,6036803690291573"
300,18,"0,7622222222222222","0,7090481402484615","0,7672408901184252","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6700039525691699","0,7166143317230274","0,6744318179965203"
300,19,"0,7583333333333333","0,7096393456362348","0,769921832720919","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6982571047373678","0,7286258009399379","0,6969724953479999"
300,20,"0,7594444444444445","0,7091728249402204","0,767923418229266","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6505497859997011","0,7171765902762904","0,6478090070702611"
300,21,"0,7561111111111111","0,7069380792568772","0,7737362272785717","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6638963507252982","0,6540754424375114","0,6471527546527546"
300,22,"0,7561111111111111","0,7048261660790535","0,7636069047792712","-2,5009069199979286e+305","-2,5009069199979286e+305","0,7051945675097849","0,7710513226292837","0,7003169729114445"
300,23,"0,7611111111111111","0,7087386243636709","0,7658158902178627","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6207315770883134","0,6272959086695968","0,6175363693487329"
300,24,"0,7477777777777778","0,6961855938639556","0,7556219370387073","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6733467643467643","0,6882876331094763","0,6667327609162583"
300,25,"0,7605555555555555","0,708602629961754","0,7692659294749844","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6591612046664445","0,6580443491673361","0,6462794998954015"
300,26,"0,7516666666666667","0,704390891397604","0,7688288855140749","-2,5009069199979286e+305","-2,5009069199979286e+305","0,7008326021964543","0,7292940533701403","0,702457639404417"
300,27,"0,7588888888888888","0,7063454552054937","0,7634809873086753","-2,5009069199979286e+305","-2,5009069199979286e+305","0,617213721950564","0,6203143974051903","0,605004362462968"
300,28,"0,7605555555555555","0,7087602124769677","0,7653884994861755","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6445631808278868","0,6742615544917335","0,6446576358895422"
300,29,"0,7527777777777778","0,6995471255330106","0,750671860926762","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6612606837606837","0,6939692058732538","0,6527117533661474"
300,30,"0,7544444444444445","0,7020608775951229","0,758686361147695","-2,5009069199979286e+305","-2,5009069199979286e+305","0,7097747176195452","0,7179345766677102","0,6998903324978556"
300,31,"0,7588888888888888","0,7083138731069816","0,7736550686254109","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6285630498533725","0,6220811053569674","0,6146486388282055"
300,32,"0,7522222222222222","0,7025708857734809","0,7647685692634784","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6710104911191868","0,6889181317460927","0,6626029849383583"
300,33,"0,7583333333333333","0,7066999700193365","0,7637413715528234","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6445592654392962","0,6555331842625696","0,6212067239381818"
300,34,"0,765","0,7143592388448042","0,7766153884088236","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6282958058275663","0,6295277271020245","0,6152047336824199"
300,35,"0,75","0,6976060437234114","0,7483697867214393","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6324355988729803","0,6422372989969232","0,6257264681493349"
300,36,"0,7527777777777778","0,7024015139120534","0,7619280445254109","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6911993179234559","0,7162569013112492","0,6918125969140168"
300,37,"0,7494444444444445","0,6973262278886365","0,7524212725703576","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6651964886964887","0,6622114252612974","0,654368480061628"
300,38,"0,7572222222222222","0,7051219173936227","0,7569081794041503","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6587784324212163","0,6440203625114111","0,6467982056578634"
300,39,"0,7516666666666667","0,7021863634787513","0,7635045039250178","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6883726273726273","0,6963541855445903","0,6835689488479185"
300,40,"0,7555555555555555","0,7033633727915347","0,7597420228990968","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6722349738075544","0,6682380650334173","0,6558289583223477"
300,41,"0,7572222222222222","0,7044752183689427","0,7540961795738356","-2,5009069199979286e+305","-2,5009069199979286e+305","0,72581661187673","0,732175803124079","0,7131559692152329"
300,42,"0,755","0,7031902437059627","0,7628081703690854","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6774861905623923","0,7121907742709842","0,6719272980196659"
300,43,"0,7544444444444445","0,7033205836898221","0,7638827455702815","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6979467418546366","0,7345970497657155","0,7057670973133738"
300,44,"0,7483333333333333","0,6982317329622048","0,7634802344352146","-2,5009069199979286e+305","-2,5009069199979286e+305","0,7029134802819013","0,7141380666553563","0,6931576378393284"
300,45,"0,7566666666666667","0,7056508309068585","0,7623957852442436","-2,5009069199979286e+305","-2,5009069199979286e+305","0,6178517054604011","0,619268053037761","0,6081321296634595"
